Simulation Time,Red_plr,Pie_plr,CoDel_plr,FqCoDel_plr,Cobalt_plr,dAQM9_plr,dAQM10_plr,dAQM11_plr
0.1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.6,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.8,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.9,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.6,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.8,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.9,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.6,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.8,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.9,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.6,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.8,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.9,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.6,0,0.0,0.0,0.0,0.000140292,0.0,0.0,0.0
4.7,0,0.0,0.0,0.0,0.000137429,0.0,0.0,0.0
4.8,0,0.0,0.0,0.0,0.000267576,0.0,0.0,0.0
4.9,0,0.0,0.0,0.0,0.000260671,0.0,0.0,0.0
5.0,0,0.0,0.0,0.0,0.000255722,0.0,0.0,0.0
5.1,0,0.0,0.0,0.0,0.000748223,0.0,0.0,0.0
5.2,0,0.0,0.0,0.0,0.00123898,0.0,0.0,0.0
5.3,0,0.0,0.0,0.0,0.00145853,0.0,0.0,0.0
5.4,0,0.0,0.0,0.0,0.00215897,0.0,0.0,0.0
5.5,0,0.0,0.0,0.0,0.00261422,0.000121212,0.000121212,0.000242424
5.6,0,0.000125786,0.0,0.0,0.00256672,0.00011976,0.000359281,0.000479042
5.7,0,0.000362084,0.0,0.000119048,0.0037078,0.000357245,0.000710187,0.00118938
5.8,0,0.000471633,0.0,0.000117647,0.00446821,0.000351696,0.000934605,0.00175848
5.9,0,0.00117016,0.000248533,0.00045918,0.00487114,0.00069921,0.00151684,0.00245218
6.0,0,0.0021914,0.000361007,0.000801255,0.00869099,0.000691093,0.00232855,0.0038304
6.1,0,0.0035538,0.00130315,0.000909908,0.00975876,0.00104575,0.00371575,0.00623751
6.2,0,0.00517537,0.00162292,0.00240418,0.0155564,0.0016269,0.00520292,0.00889045
6.3,0,0.00746586,0.00310393,0.00402196,0.019979,0.00216929,0.00683787,0.0122481
6.4,0,0.0103461,0.00441764,0.00507808,0.0231484,0.00268374,0.00942747,0.0163649
6.5,0,0.0142729,0.00699695,0.00851832,0.0287263,0.00356775,0.0125431,0.0203871
6.6,0,0.0183683,0.0105831,0.0129246,0.0348695,0.00439182,0.0157289,0.0251828
6.7,0,0.0233842,0.0143874,0.0163903,0.0422851,0.00507407,0.0194056,0.0293173
6.8,0,0.0286882,0.0197401,0.0219744,0.0544056,0.00586246,0.0220439,0.0343817
6.9,0,0.0356603,0.0233673,0.0307308,0.0652097,0.00681191,0.0260905,0.0395375
7.0,0,0.0438918,0.0293257,0.035323,0.0746712,0.00830418,0.0300222,0.0456097
7.1,0,0.0546773,0.0357444,0.0447609,0.089135,0.00993499,0.0338559,0.0527709
7.2,0,0.0668169,0.0433565,0.0528452,0.102976,0.0110312,0.0397611,0.0611844
7.3,0,0.0795358,0.0529946,0.0641882,0.114057,0.0122865,0.0448947,0.0692343
7.4,0,0.0926077,0.0615316,0.0759218,0.122561,0.0141585,0.0508919,0.0765472
7.5,0,0.107111,0.0697154,0.0872814,0.136788,0.0151617,0.0568894,0.0849074
7.6,0,0.121426,0.079805,0.0963579,0.148104,0.0165122,0.0626338,0.0935104
7.7,0,0.135822,0.0895044,0.109238,0.161327,0.0186299,0.0673334,0.101005
7.8,0,0.14941,0.0973585,0.118414,0.174537,0.0215007,0.073972,0.109592
7.9,0,0.163384,0.110324,0.133409,0.186215,0.0232867,0.0804107,0.116366
8.0,0,0.178203,0.124015,0.14736,0.197274,0.0244292,0.0886967,0.125952
8.1,0,0.192562,0.136627,0.160508,0.209962,0.0262779,0.0953486,0.136259
8.2,0,0.206931,0.14978,0.17449,0.219417,0.0277254,0.102202,0.146061
8.3,0,0.220597,0.164315,0.188484,0.23341,0.0299971,0.110092,0.15729
8.4,0,0.233805,0.17998,0.200358,0.243878,0.0319652,0.117068,0.167173
8.5,0,0.247191,0.192405,0.215606,0.255176,0.0334738,0.12523,0.175818
8.6,0,0.260197,0.203516,0.226569,0.266179,0.0347584,0.130991,0.182742
8.7,0,0.271988,0.217568,0.23608,0.279361,0.0363774,0.136939,0.190761
8.8,0,0.284273,0.227297,0.248788,0.288226,0.0382962,0.143512,0.198704
8.9,0,0.297012,0.237856,0.261453,0.301552,0.0399956,0.147492,0.206843
9.0,0,0.307775,0.245902,0.270525,0.312525,0.0416804,0.15383,0.215302
9.1,0,0.318629,0.256896,0.283046,0.320987,0.0433599,0.160126,0.223086
9.2,0,0.330698,0.270134,0.293998,0.332953,0.0451845,0.166518,0.232665
9.3,0,0.342212,0.279416,0.302819,0.343383,0.0465326,0.172923,0.241284
9.4,0,0.352914,0.290161,0.314537,0.350015,0.0477292,0.179076,0.248368
9.5,0,0.363161,0.300998,0.327767,0.360733,0.0493827,0.184594,0.255496
9.6,0,0.372736,0.311558,0.337489,0.372967,0.0508447,0.192022,0.262189
9.7,0,0.382072,0.323042,0.348249,0.38047,0.0531286,0.197052,0.267947
9.8,0,0.390326,0.332908,0.357722,0.387689,0.0543557,0.201512,0.273738
9.9,0,0.398327,0.342869,0.369389,0.393439,0.0556742,0.207751,0.280226
10.0,0,0.407011,0.353361,0.377569,0.406747,0.0570689,0.214107,0.287967
10.1,0,0.415172,0.35785,0.383806,0.414466,0.0577003,0.21969,0.293227
10.2,0,0.424483,0.372592,0.392862,0.422126,0.0593042,0.223966,0.299988
10.3,0,0.434195,0.383917,0.400381,0.431273,0.061068,0.228295,0.307258
10.4,0,0.443445,0.391221,0.412045,0.443817,0.062092,0.232162,0.313447
10.5,0,0.451943,0.399836,0.419947,0.451032,0.0630024,0.236673,0.317085
10.6,0,0.459861,0.407655,0.425038,0.455703,0.0643125,0.24067,0.320646
10.7,0,0.466323,0.416685,0.434384,0.465607,0.0658921,0.245105,0.323607
10.8,0,0.473858,0.423804,0.442278,0.470289,0.0680184,0.249717,0.326871
10.9,0,0.479921,0.430362,0.452262,0.478183,0.0692593,0.253036,0.332278
